Summary;Sprint;Issue Type;Priority;Assignee;Reporter;Fix Version/s;Team;Labels;Labels;Labels;Labels;Original Estimate;Story Points
TC37540.1.6.16 W1 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.1.6.16 W3 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC2020.5.6.9.5 W2 scope: 14 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC2020.5.6.14.1 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC22711.2.2.2.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W2 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W3 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.43;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W2 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W3 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.43;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37548.5.6.1 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.5.6.2 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
